factory,datacenter,room,rack,side,type,manufacturer,model,protocol,ip,panel,
F12P7,DC1,R1,J110,L,PDU,Delta,PDUE428,snmp,192.168.20.84,N8A,
F12P7,DC1,R2,W91,L,PDU,Delta,PDUE428,snmp,192.168.21.47,N4B,
F12P7,DC1,R3,L75,L,PDU,Delta,PDUE428,snmp,192.168.22.38,U5F,
F12P7,DC1,R4,X54,L,PDU,Delta,PDUE428,snmp,192.168.23.31,U5G,
F12P7,DC1,R1,L110,L,PDU,Delta,PDUE428,snmp,192.168.20.85,N8A,
F12P7,DC1,R1,M110,L,PDU,Delta,PDUE428,snmp,192.168.20.86,N8A,
F12P7,DC1,R1,O110,L,PDU,Delta,PDUE428,snmp,192.168.20.87,N8A,
F12P7,DC1,R1,R110,L,PDU,Delta,PDUE428,snmp,192.168.20.88,N4A,
F12P7,DC1,R1,T110,L,PDU,Delta,PDUE428,snmp,192.168.20.89,N4A,
F12P7,DC1,R1,U110,L,PDU,Delta,PDUE428,snmp,192.168.20.90,N4A,
F12P7,DC1,R1,W110,L,PDU,Delta,PDUE428,snmp,192.168.20.91,N4A,
F12P7,DC1,R1,X110,L,PDU,Delta,PDUE428,snmp,192.168.20.92,N4A,
F12P7,DC1,R2,C83,L,PDU,Delta,PDUE428,snmp,192.168.21.1,N7B,
F12P7,DC1,R2,D83,L,PDU,Delta,PDUE428,snmp,192.168.21.2,N7B,
F12P7,DC1,R2,F83,L,PDU,Delta,PDUE428,snmp,192.168.21.3,N7B,
F12P7,DC1,R2,G83,L,PDU,Delta,PDUE428,snmp,192.168.21.4,N7B,
F12P7,DC1,R2,H83,L,PDU,Delta,PDUE428,snmp,192.168.21.5,N7B,
F12P7,DC1,R2,J83,L,PDU,Delta,PDUE428,snmp,192.168.21.6,N7B,
F12P7,DC1,R2,K83,L,PDU,Delta,PDUE428,snmp,192.168.21.7,N7B,
F12P7,DC1,R2,L83,L,PDU,Delta,PDUE428,snmp,192.168.21.8,N7B,
