ip,factory,phase,datacenter,room,row,col,side,is_pdu,name,has_data,protocol_status,status_code,enabled,message
,F12,P7,DC2,R0,AA,1,L,1,F12P7DC2R0AA1PL,0,0,2,0,
,F12,P7,DC2,R0,AA,1,R,1,F12P7DC2R0AA1PR,0,0,2,0,
,F12,P7,DC2,R0,AA,2,L,1,F12P7DC2R0AA2PL,0,0,1,0,
,F12,P7,DC2,R0,AA,2,R,1,F12P7DC2R0AA2PR,0,0,0,0,
,F12,P7,DC2,R0,AA,3,L,1,F12P7DC2R0AA3PL,0,0,2,0,
,F12,P7,DC2,R0,AA,3,R,1,F12P7DC2R0AA3PR,0,0,0,0,
,F12,P7,DC2,R0,AA,4,L,1,F12P7DC2R0AA4PL,0,0,1,0,
,F12,P7,DC2,R0,AA,4,R,1,F12P7DC2R0AA4PR,0,0,0,0,
,F12,P7,DC2,R0,AA,6,L,1,F12P7DC2R0AA6PL,0,0,0,0,
,F12,P7,DC2,R0,AA,6,R,1,F12P7DC2R0AA6PR,0,0,1,0,
,F12,P7,DC2,R0,AA,7,L,1,F12P7DC2R0AA7PL,0,0,0,0,
,F12,P7,DC2,R0,AA,7,R,1,F12P7DC2R0AA7PR,0,0,0,0,
,F12,P7,DC2,R0,AA,8,L,1,F12P7DC2R0AA8PL,0,0,2,0,
,F12,P7,DC2,R0,AA,8,R,1,F12P7DC2R0AA8PR,0,0,0,0,
,F12,P7,DC2,R0,AA,10,L,1,F12P7DC2R0AA10PL,0,0,0,0,
,F12,P7,DC2,R0,AA,10,R,1,F12P7DC2R0AA10PR,0,0,0,0,
,F12,P7,DC2,R0,AA,11,L,1,F12P7DC2R0AA11PL,0,0,1,0,
,F12,P7,DC2,R0,AA,11,R,1,F12P7DC2R0AA11PR,0,0,0,0,
,F12,P7,DC2,R0,AA,12,L,1,F12P7DC2R0AA12PL,0,0,0,0,
,F12,P7,DC2,R0,AA,12,R,1,F12P7DC2R0AA12PR,0,0,1,0,
,F12,P7,DC2,R1,AA,58,L,1,F12P7DC2R1AA58PL,0,0,0,0,
,F12,P7,DC2,R1,AA,58,R,1,F12P7DC2R1AA58PR,0,0,0,0,
,F12,P7,DC2,R1,AA,61,L,1,F12P7DC2R1AA61PL,0,0,0,0,
,F12,P7,DC2,R1,AA,61,R,1,F12P7DC2R1AA61PR,0,0,2,0,
,F12,P7,DC2,R1,AA,66,L,1,F12P7DC2R1AA66PL,0,0,0,0,
,F12,P7,DC2,R1,AA,66,R,1,F12P7DC2R1AA66PR,0,0,0,0,
,F12,P7,DC2,R1,AA,69,L,1,F12P7DC2R1AA69PL,0,0,0,0,
,F12,P7,DC2,R1,AA,69,R,1,F12P7DC2R1AA69PR,0,0,0,0,
,F12,P7,DC2,R1,C,58,L,1,F12P7DC2R1C58PL,0,0,0,0,
,F12,P7,DC2,R1,C,58,R,1,F12P7DC2R1C58PR,0,0,0,0,
,F12,P7,DC2,R1,C,61,L,1,F12P7DC2R1C61PL,0,0,0,0,
,F12,P7,DC2,R1,C,61,R,1,F12P7DC2R1C61PR,0,0,0,0,
,F12,P7,DC2,R1,C,69,L,1,F12P7DC2R1C69PL,0,0,0,0,
,F12,P7,DC2,R1,C,69,R,1,F12P7DC2R1C69PR,0,0,2,0,
,F12,P7,DC2,R1,C,66,L,0,F12P7DC2R1C66PL,0,0,0,0,
,F12,P7,DC2,R1,C,66,R,0,F12P7DC2R1C66PR,0,0,0,0,
,F12,P7,DC2,R1,D,58,L,1,F12P7DC2R1D58PL,0,0,2,0,
,F12,P7,DC2,R1,D,58,R,1,F12P7DC2R1D58PR,0,0,0,0,
,F12,P7,DC2,R1,D,61,L,1,F12P7DC2R1D61PL,0,0,2,0,
,F12,P7,DC2,R1,D,61,R,1,F12P7DC2R1D61PR,0,0,0,0,
,F12,P7,DC2,R1,D,66,L,1,F12P7DC2R1D66PL,0,0,0,0,
,F12,P7,DC2,R1,D,66,R,1,F12P7DC2R1D66PR,0,0,2,0,
,F12,P7,DC2,R1,D,69,L,1,F12P7DC2R1D69PL,0,0,0,0,
,F12,P7,DC2,R1,D,69,R,1,F12P7DC2R1D69PR,0,0,0,0,
,F12,P7,DC2,R1,E,61,L,1,F12P7DC2R1E61PL,0,0,0,0,
,F12,P7,DC2,R1,E,61,R,1,F12P7DC2R1E61PR,0,0,0,0,
,F12,P7,DC2,R1,E,66,L,1,F12P7DC2R1E66PL,0,0,2,0,
,F12,P7,DC2,R1,E,66,R,1,F12P7DC2R1E66PR,0,0,0,0,
,F12,P7,DC2,R1,E,58,L,0,F12P7DC2R1E58PL,0,0,0,0,
,F12,P7,DC2,R1,E,69,L,0,F12P7DC2R1E69PL,0,0,0,0,
,F12,P7,DC2,R1,E,58,R,0,F12P7DC2R1E58PR,0,0,0,0,
,F12,P7,DC2,R1,E,69,R,0,F12P7DC2R1E69PR,0,0,0,0,
