factory,phase,datacenter,room,range,start,end
F12,P7,DC1,R0,172.5.0.0,172.5.0.1,172.5.7.254
F12,P7,DC1,R1,172.5.8.0,172.5.8.1,172.5.15.254
F12,P7,DC1,R2,172.5.16.0,172.5.16.1,172.5.23.254
F12,P7,DC1,R3,172.5.24.0,172.5.24.1,172.5.31.254
F12,P7,DC1,R4,172.5.32.0,172.5.32.1,172.5.39.254
F12,P7,DC1,R5,172.5.40.0,172.5.40.1,172.5.47.254
F12,P7,DC1,R6,172.5.48.0,172.5.48.1,172.5.55.254
F12,P7,DC1,R7,172.5.56.0,172.5.56.1,172.5.63.254
F12,P7,DC2,R0,172.6.0.0,172.6.0.1,172.6.7.254
F12,P7,DC2,R1,172.6.8.0,172.6.8.1,172.6.15.254
F12,P7,DC2,R2,172.6.16.0,172.6.16.1,172.6.23.254
F12,P7,DC2,R3,172.6.24.0,172.6.24.1,172.6.31.254
F12,P7,DC2,R4,172.6.32.0,172.6.32.1,172.6.39.254
