#group,false,false,false,false
#datatype,string,long,string,double
#default,_result,,,
,result,table,name,_value
,,0,F12P7DC1R1E110PR,1527.3000000000025
,,0,F12P7DC1R1V107PR,1497.4999999999998
,,0,F12P7DC1R1W107PR,1472.8999999999942
,,0,F12P7DC1R1E110PL,1461.3000000000009
,,0,F12P7DC1R1Z102PR,1451.500000000002
,,0,F12P7DC1R1Z102PL,1451.200000000002
,,0,F12P7DC1R1V107PL,1404.2999999999984
,,0,F12P7DC1R1W107PL,1396.9999999999968
,,0,F12P7DC1R1J110PL,1390
,,0,F12P7DC1R1U107PR,1359.3999999999996
,,0,F12P7DC1R1R107PR,1336.5999999999992
,,0,F12P7DC1R1L107PR,1326.1999999999998
,,0,F12P7DC1R1I110PR,1315.6999999999944
,,0,F12P7DC1R1U107PL,1303.500000000002
,,0,F12P7DC1R1H110PR,1302.9000000000096
,,0,F12P7DC1R1N107PR,1290.700000000001
,,0,F12P7DC1R1I110PL,1290.0999999999954
,,0,F12P7DC1R1K107PL,1284.4000000000003
,,0,F12P7DC1R1R107PL,1272.6000000000045
,,0,F12P7DC1R1H110PL,1269.8000000000127
,,0,F12P7DC1R1L107PL,1259.1000000000008
,,0,F12P7DC1R1N107PL,1243.4000000000046
,,0,F12P7DC1R1W110PR,1236.1000000000047
,,0,F12P7DC1R1S107PR,1232.100000000012
,,0,F12P7DC1R1F110PR,1210.3000000000077
,,0,F12P7DC1R1X110PR,1207.2000000000066
,,0,F12P7DC1R1S107PL,1194.30000000001
,,0,F12P7DC1R1L110PL,1188.600000000012
,,0,F12P7DC1R1K107PR,1173.9000000000092
,,0,F12P7DC1R1F110PL,1171.70000000001
,,0,F12P7DC1R1M110PR,1142.1000000000133
,,0,F12P7DC1R1W110PL,1139.20000000001
,,0,F12P7DC1R1M110PL,1131.3000000000093
,,0,F12P7DC1R1X110PL,1109.6000000000145
,,0,F12P7DC1R1O107PL,1106.0000000000173
,,0,F12P7DC1R1O107PR,1101.0000000000157
,,0,F12P7DC1R1J107PR,1061.6000000000204
,,0,F12P7DC1R1T110PR,1001.0000000000188
,,0,F12P7DC1R1H107PR,993.4000000000241
,,0,F12P7DC1R1R110PR,983.4000000000165
,,0,F12P7DC1R1F107PR,981.9000000000223
,,0,F12P7DC1R1G107PR,981.4000000000226
,,0,F12P7DC1R1D107PR,967.4000000000208
,,0,F12P7DC1R1J107PL,948.2000000000199
,,0,F12P7DC1R1T110PL,944.1000000000183
