#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bank,name
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T00:00:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T00:10:00Z,7.2,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T00:20:00Z,7.4,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T00:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T00:40:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T00:50:00Z,7.6,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T01:00:00Z,7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T01:10:00Z,5.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T01:20:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T01:30:00Z,5.5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T01:40:00Z,5.2,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T01:50:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T02:00:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T02:10:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T02:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T02:30:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T02:40:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T02:50:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T03:00:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T03:10:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T03:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T03:30:00Z,8.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T03:40:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T03:50:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T04:00:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T04:10:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T04:20:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T04:30:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T04:40:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T04:50:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T05:00:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T05:10:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T05:20:00Z,7.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T05:30:00Z,5.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T05:40:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T05:50:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T06:00:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T06:10:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T06:20:00Z,7.3,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T06:30:00Z,5.6,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T06:40:00Z,7.1,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T06:50:00Z,7.4,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T07:00:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T07:10:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T07:20:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T07:30:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T07:40:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T07:50:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T08:00:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T08:10:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T08:20:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T08:30:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T08:40:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T08:50:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:00:00Z,5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:10:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:20:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:30:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:40:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T09:50:00Z,4.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:00:00Z,7.5,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:10:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:20:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:30:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:40:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T10:50:00Z,7.9,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:00:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:10:00Z,8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:20:00Z,6.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:30:00Z,4.8,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:40:00Z,7.7,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T11:50:00Z,7.4,current,pdu,L1-1,F12P7DC1R1E110PR
,,0,2025-04-10T00:00:00Z,2025-04-24T00:00:00Z,2025-04-20T12:00:00Z,7.3,current,pdu,L1-1,F12P7DC1R1E110PR
